RodID;SectionID;Timesteps;AverageBurnup;AveragePower;AveragePowerRate;HoldTime;IntegratedPower;AverageRodPressure;FGR;GapWidth_mid;GapWidth_end;InterfaceP_mid;InterfaceP_end;CladInnerTemp_mid;CladInnerTemp_end;CladRadDisp_mid;CladRadDisp_end;CladInnerStress_r_mid;CladInnerStress_r_end;CladInnerStrain_r_mid;CladInnerStrain_r_end;CladInnerCreep_r_mid;CladInnerCreep_r_end;RidgeHeight
6;B;12040109.923750317;3554.884463;266013933.78;-0.6238016310075392;12040049.923750317;3155148201275082.0;5164307.355;0.006445860664;3.907778155e-05;3.615339437e-05;0.0;0.0;597.8622107;602.4605792;-4.137848847e-06;-4.174714349e-06;-5163611.139;-5163610.594;0.003687285202;0.003768847531;0.001695468207;0.001763675091;0.0
6;B;12148339.081624424;3587.3101497;265946420.25;-0.6238016753168608;12148279.081624424;3183935011844621.5;5164698.836;0.006555595574;3.895015356e-05;3.602702056e-05;0.0;0.0;597.8562918;602.4420954;-4.191854246e-06;-4.228738056e-06;-5163989.617;-5163895.553;0.003692331514;0.003773715824;0.001704188501;0.001772306731;0.0
6;B;12256843.233631862;3619.8099518;265878735.19;-0.6238015665553738;12256783.233631862;3212787630598242.0;5165091.854;0.006665144746;3.882294784e-05;3.590104736e-05;0.0;0.0;597.8503401;602.4235647;-4.245892588e-06;-4.282791454e-06;-5164353.883;-5164388.475;0.003697378664;0.003778578191;0.001712907993;0.001780935616;0.0
6;B;12365618.764725378;3652.3827239;265810880.83;-0.6238016888343152;12365558.764725378;3241705040777983.5;5165486.408;0.006774526893;3.869616505e-05;3.57754827e-05;0.0;0.0;597.8443561;602.4050258;-4.29996221e-06;-4.33687612e-06;-5164770.859;-5164774.009;0.003702421138;0.003783437892;0.001721626685;0.001789561816;0.0
6;B;12474661.748092435;3685.0272286;265742859.64;-0.6238016229898657;12474601.748092435;3270686143618367.0;5165882.493;0.006883752137;3.85697996e-05;3.565032241e-05;0.0;0.0;597.8383403;602.38647;-4.354062835e-06;-4.390990802e-06;-5165170.817;-5165167.311;0.003707461107;0.003788293858;0.001730344579;0.001798185388;0.0
6;B;12583968.412293997;3717.7422758;265674673.97;-0.6238015815234521;12583908.412293997;3299729882566932.0;5166288.702;0.006992825762;3.844385085e-05;3.552556692e-05;0.0;0.0;597.8322932;602.3678964;-4.408191404e-06;-4.445132042e-06;-5165578.38;-5165572.36;0.003712498104;0.00379314574;0.001739061675;0.001806806387;0.0
6;B;12600060.0;3722.5582416;265664636.01;-0.6238017144985297;12600000.0;3304004929121027.0;5166383.678;0.007006619116;3.842511569e-05;3.550745658e-05;0.0;0.0;597.8314181;602.3651714;-4.415991564e-06;-4.452972115e-06;-5167341.284;-5167382.72;0.003713215179;0.003793841807;0.001740343777;0.001808074429;0.0
6;B;12709728.974311426;3755.3635824;265527812.64;-1.2476032611690917;12709668.974311426;3333132594623737.0;5166566.602;0.007169326176;3.830273314e-05;3.538647975e-05;0.0;0.0;597.8148116;602.3351765;-4.470604303e-06;-4.507565008e-06;-5165858.149;-5165848.459;0.003718196853;0.003798624013;0.001749062738;0.00181669501;0.0
6;B;12819617.209883211;3788.2175391;265390715.72;-1.2476032514911737;12819557.209883211;3362303444780661.5;5166796.386;0.007329693311;3.818052804e-05;3.526613164e-05;0.0;0.0;597.7981689;602.3051605;-4.525067693e-06;-4.56202296e-06;-5166072.721;-5166074.528;0.003723149207;0.00380338288;0.0017577757;0.001825307702;0.0
6;B;12929785.079381531;3821.1380413;265253269.93;-1.2476032315582515;12929725.079381531;3391533403461240.5;5167026.727;0.007489816942;3.805871065e-05;3.514630903e-05;0.0;0.0;597.781474;602.2750838;-4.579561817e-06;-4.616519121e-06;-5166311.307;-5166377.339;0.003728098433;0.00380813892;0.001766487766;0.001833917642;0.0
6;B;13040228.633154122;3854.1237799;265115480.19;-1.2476032805293977;13040168.633154122;3420821308247830.5;5167257.951;0.007649756353;3.793729754e-05;3.502687894e-05;0.0;0.0;597.7647173;602.2449551;-4.634085066e-06;-4.671048086e-06;-5166625.764;-5166399.413;0.003733046028;0.0038128897;0.001775198946;0.001842524877;0.0
6;B;13150944.719946388;3887.1736864;264977350.44;-1.247603252625516;13150884.719946388;3450166210169825.0;5167490.163;0.007809522625;3.781627958e-05;3.490786236e-05;0.0;0.0;597.7479018;602.2147812;-4.688640243e-06;-4.725608822e-06;-5166779.709;-5166648.082;0.00373799067;0.003817636693;0.00178390927;0.001851129496;0.0
6;B;13261929.408672515;3920.2864611;264838885.58;-1.2476032648221338;13261869.408672515;3479566955188189.0;5167723.347;0.00796912577;3.769566185e-05;3.478925764e-05;0.0;0.0;597.7310272;602.1846124;-4.743225325e-06;-4.780200293e-06;-5166608.21;-5166827.871;0.003742934313;0.003822382257;0.001792618735;0.001859731492;0.0
6;B;13373179.253463669;3953.4609513;264700089.92;-1.2476031787782162;13373119.253463669;3509022519605809.5;5167957.493;0.008128593954;3.757543893e-05;3.467102044e-05;0.0;0.0;597.7140928;602.154333;-4.797839709e-06;-4.834821186e-06;-5167164.887;-5167132.072;0.003747873948;0.003827122378;0.001801327375;0.001868331031;0.0
6;B;13484690.517041696;3986.6959191;264560968.1;-1.247603296169678;13484630.517041696;3538531804277036.5;5168192.602;0.008287925034;3.74556091e-05;3.455317801e-05;0.0;0.0;597.6971;602.1238536;-4.852483158e-06;-4.889469439e-06;-5167415.718;-5167325.26;0.003752812323;0.003831859206;0.00181003519;0.001876928109;0.0
6;B;13596459.60845635;4019.9901724;264421524.62;-1.2476032348036616;13596399.60845635;3568093750569823.5;5168428.678;0.008447137938;3.733617053e-05;3.443572013e-05;0.0;0.0;597.6800492;602.093336;-4.907155577e-06;-4.944146365e-06;-5167657.065;-5167771.179;0.003757748852;0.003836593135;0.001818742192;0.00188552276;0.0
6;B;13708483.096849363;4053.3425687;264281763.75;-1.2476032661086323;13708423.096849363;3597707343913855.5;5168665.721;0.008606245625;3.721711794e-05;3.431864388e-05;0.0;0.0;597.6629412;602.0627793;-4.961856462e-06;-4.998851061e-06;-5167893.531;-5168004.998;0.003762683302;0.003841324299;0.001827448393;0.001894115075;0.0
6;B;13820757.527958646;4086.7519605;264141689.81;-1.2476032041850709;13820697.527958646;3627371565230481.5;5168903.733;0.008765262378;3.709844815e-05;3.420194555e-05;0.0;0.0;597.6457772;602.0321827;-5.01658526e-06;-5.053582947e-06;-5168133.068;-5168243.434;0.003767615822;0.003846052697;0.001836153805;0.001902705113;0.0
